#EXTM3U x-tvg-url="https://diyp0731.112114.xyz/pp.xml.gz"
#江西移动内网源，仅限江西移动网络使用。
#EXT-X-SUB-URL https://live.404003.xyz/m3u/jxyd.m3u


4K,#genre#
CHC影迷电影,http://39.135.140.104:6610/PLTV/88888888/224/3221226305/1/index.m3u8?fmt=ts2hls
CHC影迷电影,http://39.135.140.104:6610/PLTV/88888888/224/3221226305/2/index.m3u8$8M1080ib_48K
CHC动作电影,http://39.135.140.104:6610/PLTV/88888888/224/3221226308/2/index.m3u8$8M1080P_48K
CHC家庭影院,http://39.135.140.104:6610/PLTV/88888888/224/3221226319/2/index.m3u8$8M1080ib_48K
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225764/1/index.m3u8?fmt=ts2hls
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225769/1/index.m3u8?fmt=ts2hls
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225764/2/index.m3u8
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225769/2/index.m3u8
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225764/1/index.m3u8
黑莓电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225769/1/index.m3u8
超级电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225765/1/index.m3u8
超级电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225625/1/index.m3u8
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225623/1/index.m3u8
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225766/1/index.m3u8
超级体育,http://39.135.140.104:6610/PLTV/88888888/224/3221225767/1/index.m3u8
超级体育,http://39.135.140.104:6610/PLTV/88888888/224/3221225622/1/index.m3u8
超级综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225620/1/index.m3u8
超级综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225768/1/index.m3u8
潮妈辣婆,http://39.135.140.104:6610/PLTV/88888888/224/3221225708/1/index.m3u8
东北热剧,http://39.135.140.104:6610/PLTV/88888888/224/3221226202/1/index.m3u8
古装剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225678/1/index.m3u8
海外剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225716/1/index.m3u8
欢乐剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221226210/1/index.m3u8
家庭剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225713/1/index.m3u8
金牌综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225711/1/index.m3u8
精品大剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225714/1/index.m3u8
精品萌宠,http://39.135.140.104:6610/PLTV/88888888/224/3221226245/1/index.m3u8
精品体育,http://39.135.140.104:6610/PLTV/88888888/224/3221225709/1/index.m3u8
军旅剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225669/1/index.m3u8
军事评论,http://39.135.140.104:6610/PLTV/88888888/224/3221225757/1/index.m3u8
农业致富,http://39.135.140.104:6610/PLTV/88888888/224/3221225670/1/index.m3u8
炫舞未来,http://39.135.140.104:6610/PLTV/88888888/224/3221225707/1/index.m3u8
怡伴健康,http://39.135.140.104:6610/PLTV/88888888/224/3221225666/1/index.m3u8
中国功夫,http://39.135.140.104:6610/PLTV/88888888/224/3221225660/1/index.m3u8
电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225712/1/index.m3u8
哒啵赛事,http://39.135.140.104:6610/PLTV/88888888/224/3221225653/1/index.m3u8
哒啵电竞,http://39.135.140.104:6610/PLTV/88888888/224/3221226265/1/index.m3u8
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225623/1/index.m3u8?fmt=ts2hls
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225766/1/index.m3u8?fmt=ts2hls
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225766/2/index.m3u8
超级电影,http://39.135.140.104:6610/PLTV/88888888/224/3221225623/2/index.m3u8
超级电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225765/2/index.m3u8
超级电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225625/2/index.m3u8
超级电视剧,http://39.135.140.104:6610/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
精品体育,http://39.135.140.104:6610/PLTV/88888888/224/3221225709/1/index.m3u8?fmt=ts2hls
海外剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225716/1/index.m3u8?fmt=ts2hls
军旅剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225669/1/index.m3u8?fmt=ts2hls
超级综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225620/1/index.m3u8?fmt=ts2hls
超级综艺,http://39.135.140.104:6610/PLTV/88888888/224/3221225768/1/index.m3u8?fmt=ts2hls
军事评论,http://39.135.140.104:6610/PLTV/88888888/224/3221225757/1/index.m3u8?fmt=ts2hls
农业致富,http://39.135.140.104:6610/PLTV/88888888/224/3221225670/1/index.m3u8?fmt=ts2hls
家庭剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221225713/2/index.m3u8
欢乐剧场,http://39.135.140.104:6610/PLTV/88888888/224/3221226210/2/index.m3u8
睛彩篮球,http://39.135.140.104:6610/PLTV/88888888/224/3221226240/1/index.m3u8?fmt=ts2hls
睛彩竞技,http://39.135.140.104:6610/PLTV/88888888/224/3221226243/1/index.m3u8?fmt=ts2hls
睛彩广场舞,http://39.135.140.104:6610/PLTV/88888888/224/3221226391/1/index.m3u8
睛彩广场舞,http://39.135.140.104:6610/PLTV/88888888/224/3221226383/1/index.m3u8?fmt=ts2hls
睛彩竞技,http://39.135.140.104:6610/PLTV/88888888/224/3221226243/1/index.m3u8
睛彩竞技,http://39.135.140.104:6610/PLTV/88888888/224/3221226400/1/index.m3u8?fmt=ts2hls
睛彩篮球,http://39.135.140.104:6610/PLTV/88888888/224/3221226240/1/index.m3u8
睛彩篮球,http://39.135.140.104:6610/PLTV/88888888/224/3221226403/1/index.m3u8?fmt=ts2hls
睛彩青少,http://39.135.140.104:6610/PLTV/88888888/224/3221226261/1/index.m3u8
睛彩青少,http://39.135.140.104:6610/PLTV/88888888/224/3221226380/1/index.m3u8?fmt=ts2hls
纪录,#genre#
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221225675/1/index.m3u8
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221225676/1/index.m3u8
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221226365/1/index.m3u8?fmt=ts2hls
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
北京纪实科教,http://39.135.140.104:6610/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
金鹰纪实,http://39.135.140.104:6610/PLTV/88888888/224/3221225595/1/index.m3u8?fmt=ts2hls
金鹰纪实,http://39.135.140.104:6610/PLTV/88888888/224/3221225595/index.m3u8?fmt=ts2hls
金鹰纪实,http://39.135.140.104:6610/PLTV/88888888/224/3221225595/1/index.m3u8?fmt=ts2hls
金鹰纪实,http://39.135.140.104:6610/PLTV/88888888/224/3221226198/1/index.m3u8
四海钓鱼,http://39.135.140.104:6610/PLTV/88888888/224/3221226330/1/index.m3u8?fmt=ts2hls
梨园频道,http://39.135.140.104:6610/PLTV/88888888/224/3221225581/1/index.m3u8?fmt=ts2hls
文物宝库,http://39.135.140.104:6610/PLTV/88888888/224/3221226328/1/index.m3u8?fmt=ts2hls
武术世界,http://39.135.140.104:6610/PLTV/88888888/224/3221225508/1/index.m3u8?fmt=ts2hls
茶频道,http://39.135.140.104:6610/PLTV/88888888/224/3221225781/1/index.m3u8?fmt=ts2hls
快乐垂钓,http://39.135.140.104:6610/PLTV/88888888/224/3221225780/1/index.m3u8?fmt=ts2hls
中国天气,http://39.135.140.104:6610/PLTV/88888888/224/3221226334/1/index.m3u8?fmt=ts2hls
新华社,http://39.135.140.104:6610/PLTV/88888888/224/3221226297/1/index.m3u8
新华全球连线,http://39.135.140.104:6610/PLTV/88888888/224/3221226298/1/index.m3u8
国学苑,http://117.169.120.98:8080/ysten-businessmobile/live/HD-4000k-1080P-guoxueyuan/1.m3u8$易视腾
CETV-1,http://39.135.140.104:6610/PLTV/88888888/224/3221225917/1/index.m3u8?fmt=ts2hls
CETV-2,http://39.135.140.104:6610/PLTV/88888888/224/3221226350/1/index.m3u8?fmt=ts2hls
CETV-4,http://39.135.140.104:6610/PLTV/88888888/224/3221225969/1/index.m3u8?fmt=ts2hls
先锋乒羽,http://39.135.140.104:6610/PLTV/88888888/224/3221226311/1/index.m3u8?fmt=ts2hls
财富天下,http://39.135.140.104:6610/PLTV/88888888/224/3221226336/1/index.m3u8?fmt=ts2hls
生态环境,http://39.135.140.104:6610/PLTV/88888888/224/3221226325/1/index.m3u8?fmt=ts2hls
国学频道,http://39.135.140.104:6610/PLTV/88888888/224/3221226338/1/index.m3u8?fmt=ts2hls
